央视频道,#genre#
CCTV-1,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226346/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225499/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://39.134.7.247/000000001000/1000000001000021973/1.m3u8
CCTV-2,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226371/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225502/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8#http://39.134.7.247/000000001000/1000000001000012442/1.m3u8
CCTV-3,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226470/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225501/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://39.134.7.247/000000001000/1000000002000031664/1.m3u8
CCTV-5,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-6,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-7,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226467/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225504/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8#http://39.134.7.247/000000001000/1000000001000017218/1.m3u8
CCTV-8,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8#http://39.134.7.247/000000001000/1000000001000028286/1.m3u8
CCTV-10,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226464/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225503/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8#http://39.134.7.247/000000001000/1000000001000026367/1.m3u8
CCTV-11,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225506/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8#http://39.134.7.247/000000001000/1000000002000019789/1.m3u8
CCTV-12,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8#http://39.134.7.247/000000001000/1000000001000001640/1.m3u8
CCTV-13,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225510/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://111.20.45.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225508/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8
CCTV-14,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225590/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8#
CCTV-15,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226460/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8#http://39.134.7.247/000000001000/1000000002000008163/1.m3u8
CCTV5+,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226349/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225512/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8#http://39.134.7.247/000000001000/1000000001000018504/1.m3u8
CCTV-17,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226459/1.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225706/index.m3u8#http://39.135.139.214:6610/PLTV/88888888/224/3221225909/2/index.m3u8#http://39.134.7.247/000000001000/1000000005000056836/1.m3u8
CCTV 4K,http://117.148.187.56/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
CGTN ,http://39.130.215.158:6610/gitv_live/G_CGTN-HD/#http://39.135.139.214:6610/PLTV/88888888/224/3221225747/2/index.m3u8
CGTN纪录,http://39.135.139.214:6610/PLTV/88888888/224/3221225645/2/index.m3u8#http://39.134.7.247/000000001000/8428799834696888424/1.m3u8
中国交通,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221227027/index.m3u8
中国气象,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227438/index.m3u8
农林卫视,http://111.20.45.163/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226317/index.m3u8#http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225696/1/index.m3u8?fmt=ts2hls
CETV1,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8#http://39.135.139.214:6610/PLTV/88888888/224/3221225917/2/index.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225701/index.m3u8#http://39.134.7.247/000000001000/1000000002000027253/1.m3u8
CETV2,http://111.20.45.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8#http://39.130.215.166:6410/gitv_live/G_CETV-2/G_CETV-2.m3u8
CETV3,http://111.20.45.155/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://39.135.139.214:6610/PLTV/88888888/224/3221225969/2/index.m3u8#http://117.136.156.40/PLTV/88888888/224/3221225802/index.m3u8#http://112.50.243.12/PLTV/88888888/224/3221227050/index.m3u8
CETV早期教育,http://39.135.139.214:6610/PLTV/88888888/224/3221225513/2/index.m3u8#http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225679/1/index.m3u8?fmt=ts2hls
山东教育卫视,http://120.221.5.101:8089/PLTV/88888888/224/3221226049/index.m3u8#http://39.134.7.247/000000001000/7341476808603780321/1.m3u8
现代教育,http://sss508.xyz/dougu.php?id=xiandaijiaoyu_1500
CCTV电视指南,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226120/1/index.m3u8?fmt=ts2hls#http://sss508.xyz/dougu.php?id=dianshizhinan_1500
CCTV高尔夫·网球,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls
CCTV台球,http://sss508.xyz/dougu.php?id=DOXyinglunHD_7000#http://tv.tonyt.top/iptv/gzgd.php?id=ystq#http://player.ioioz.com/1786/0/migum3u8.php?id=603842910
CCTV央视文化精品,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226100/1/index.m3u8?fmt=ts2hls#http://sss508.xyz/dougu.php?id=DOXyijiaHD_7000
CCTV兵器科技,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
CCTV老故事,http://39.135.139.214:6610/PLTV/88888888/224/3221225517/2/index.m3u8#http://tvtony.ddnsto.com/iptv/gzgd.php?id=lgs#http://tv.tonyt.top/iptv/gzgd.php?id=lgs#http://211.137.115.110:8080/gitv_live/G_LAOGUSHI/G_LAOGUSHI.m3u8
CCTV新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2_hd.m3u8
CCTV中学生,http://39.135.139.214:6610/PLTV/88888888/224/3221225515/2/index.m3u8#http://tv.tonyt.top/iptv/gzgd.php?id=zxs#
CCTV风云音乐,http://sss508.xyz/dougu.php?id=DOXxinyiHD_7000#http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls#http://tv.tonyt.top/iptv/gzgd.php?id=fyyy#
CCTV女性时尚,http://sss508.xyz/dougu.php?id=DOXyuanxianHD_7000#http://tv.tonyt.top/iptv/gzgd.php?id=nxss#http://211.137.115.110:8080/gitv_live/G_NVXINGSS/G_NVXINGSS.m3u8
CCTV风云剧场,http://sss508.xyz/dougu.php?id=DOXxinzhiHD_7000#http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls#http://tv.tonyt.top/iptv/gzgd.php?id=fyjc
